customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
HH30454,OREGON,M,BACHELOR,3265483.83,0.0,153.0,1/0/00,PERSONAL AUTO,SUV,1101.6
AH84063,OREGON,F,COLLEGE,471945.01,89642.0,121.0,1/4/00,CORPORATE AUTO,SUV,86.320022
QA17596,CALIFORNIA,F,BACHELOR,390347.48,60068.0,98.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,470.4
XI41052,CALIFORNIA,F,BACHELOR,545725.97,50044.0,139.0,1/0/00,PERSONAL AUTO,SUV,667.2
DI30528,CALIFORNIA,F,MASTER,272535.64,36650.0,69.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,56.60333
SC66359,ARIZONA,F,COLLEGE,443397.37,50653.0,110.0,1/0/00,CORPORATE AUTO,SUV,262.865172
EN61670,ARIZONA,F,DOCTOR,533246.27,68931.0,66.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,309.577946
DQ10761,OREGON,M,BACHELOR,231509.5,0.0,73.0,1/1/00,CORPORATE AUTO,FOUR-DOOR CAR,350.4
BQ51587,CALIFORNIA,F,COLLEGE,541195.37,0.0,73.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,365.364581
JE21522,CALIFORNIA,M,BACHELOR,958733.23,39266.0,80.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,384.0
WS47147,CALIFORNIA,M,COLLEGE,2210350.72,0.0,102.0,1/0/00,PERSONAL AUTO,SUV,489.6
ZA64638,NEVADA,F,HIGH SCHOOL OR BELOW,976494.53,0.0,98.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,705.6
EW38459,NEVADA,F,BACHELOR,256715.15,40864.0,65.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,9.51528
QW87316,OREGON,F,COLLEGE,265062.28,39035.0,68.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,244.564334
IC43478,CALIFORNIA,M,BACHELOR,1126436.33,34923.0,98.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,639.105556
TE34064,CALIFORNIA,M,HIGH SCHOOL OR BELOW,216852.35,0.0,63.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,453.6
WU60905,CALIFORNIA,F,HIGH SCHOOL OR BELOW,861066.75,0.0,111.0,1/0/00,CORPORATE AUTO,SUV,532.8
YM18992,CALIFORNIA,F,COLLEGE,283464.62,24506.0,71.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,511.2
PD55753,OREGON,M,HIGH SCHOOL OR BELOW,893013.97,0.0,82.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,554.522969
KU56006,ARIZONA,F,COLLEGE,553638.7,52220.0,70.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,336.0
MJ69973,ARIZONA,M,HIGH SCHOOL OR BELOW,284085.43,0.0,74.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,402.449823
TW43626,CALIFORNIA,M,COLLEGE,808288.1,53554.0,67.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,327.020539
XX84133,CALIFORNIA,M,BACHELOR,525473.43,34476.0,67.0,1/1/00,CORPORATE AUTO,FOUR-DOOR CAR,5.3953
ZW84453,ARIZONA,F,BACHELOR,511623.76,0.0,70.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,131.401291
HO29524,CALIFORNIA,M,COLLEGE,303464.7,68205.0,76.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,99.382943
VE89726,CALIFORNIA,FEMALE,HIGH SCHOOL OR BELOW,802489.99,0.0,119.0,1/1/00,PERSONAL AUTO,SUV,856.8
GE87503,CALIFORNIA,M,HIGH SCHOOL OR BELOW,1821114.32,53690.0,154.0,1/0/00,PERSONAL AUTO,SUV,739.2
PX90263,OREGON,M,HIGH SCHOOL OR BELOW,512156.33,0.0,72.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,518.4
NI17718,CALIFORNIA,FEMALE,HIGH SCHOOL OR BELOW,215017.86,0.0,61.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,292.8
FY32213,CALIFORNIA,FEMALE,HIGH SCHOOL OR BELOW,559538.99,74454.0,71.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,340.8
RZ13254,NEVADA,FEMALE,BACHELOR,756282.4,0.0,73.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,350.4
GN45013,OREGON,M,HIGH SCHOOL OR BELOW,538585.32,29664.0,71.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,340.8
NM39588,WASHINGTON,F,DOCTOR,267805.83,72450.0,66.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,84.218363
KU84464,NEVADA,FEMALE,BACHELOR,942256.79,47272.0,79.0,1/3/00,PERSONAL AUTO,FOUR-DOOR CAR,64.546877
YH43527,OREGON,FEMALE,COLLEGE,360586.03,21585.0,92.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,441.6
RO30676,CALIFORNIA,FEMALE,COLLEGE,776259.06,23827.0,106.0,1/2/00,PERSONAL AUTO,FOUR-DOOR CAR,37.910623
QL59704,ARIZONA,FEMALE,COLLEGE,2344490.05,69906.0,74.0,1/2/00,CORPORATE AUTO,FOUR-DOOR CAR,202.860399
QH19450,CALIFORNIA,FEMALE,HIGH SCHOOL OR BELOW,255817.82,0.0,72.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,345.6
SA54664,WASHINGTON,M,MASTER,265438.1,73196.0,66.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,85.809817
CI38330,WASHINGTON,M,BACHELOR,254978.61,72217.0,6464.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,91.146661
WB38524,CALIFORNIA,M,HIGH SCHOOL OR BELOW,296959.33,46131.0,74.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,355.2
CE56187,OREGON,FEMALE,MASTER,436312.46,54514.0,109.0,1/3/00,PERSONAL AUTO,SUV,286.234931
JL19416,CALIFORNIA,FEMALE,HIGH SCHOOL OR BELOW,588430.86,0.0,161.0,1/0/00,PERSONAL AUTO,SUV,1159.2
JZ61422,NEVADA,FEMALE,COLLEGE,527219.16,96668.0,66.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,316.8
LA13377,CALIFORNIA,M,DOCTOR,550989.57,78879.0,69.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,466.570791
NC99948,NEVADA,M,COLLEGE,1631368.35,0.0,69.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,331.2
QD34785,ARIZONA,FEMALE,BACHELOR,567805.02,0.0,76.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,364.8
RO26085,CALIFORNIA,FEMALE,BACHELOR,1210120.88,0.0,112.0,1/0/00,PERSONAL AUTO,SPORTS CAR,1252.406235
ES57969,OREGON,M,BACHELOR,245357.08,29735.0,69.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,331.2
JK55587,CALIFORNIA,M,HIGH SCHOOL OR BELOW,507566.27,23082.0,65.0,1/0/00,SPECIAL AUTO,FOUR-DOOR CAR,312.0
RN97635,ARIZONA,M,BACHELOR,321497.94,53984.0,80.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,421.484456
BI76326,CALIFORNIA,FEMALE,COLLEGE,1227534.31,52135.0,156.0,1/0/00,PERSONAL AUTO,SUV,430.505942
JA34909,CALIFORNIA,FEMALE,COLLEGE,272221.07,17576.0,71.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,398.502948
OJ90342,OREGON,FEMALE,BACHELOR,245744.09,29486.0,62.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,7.646763
CM88932,OREGON,FEMALE,MASTER,355484.53,58557.0,88.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,55.510526
JJ97525,CALIFORNIA,M,BACHELOR,492954.97,25632.0,63.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,351.270869
XV21647,CALIFORNIA,FEMALE,HIGH SCHOOL OR BELOW,803645.03,0.0,112.0,1/0/00,PERSONAL AUTO,SPORTS CAR,806.4
MC83487,ARIZONA,M,BACHELOR,427691.53,18768.0,68.0,1/3/00,CORPORATE AUTO,FOUR-DOOR CAR,647.454583
BL90769,CALIFORNIA,FEMALE,BACHELOR,3347334.95,33190.0,106.0,1/0/00,PERSONAL AUTO,SUV,508.8
CR57148,OREGON,FEMALE,MASTER,596058.14,47945.0,74.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,128.43823
CP85232,ARIZONA,M,COLLEGE,4479546.94,58778.0,126.0,1/0/00,SPECIAL AUTO,SUV,302.033971
YL74732,CALIFORNIA,FEMALE,HIGH SCHOOL OR BELOW,383211.81,15192.0,100.0,1/0/00,PERSONAL AUTO,SUV,480.0
FG16766,CALIFORNIA,FEMALE,BACHELOR,683793.26,51859.0,171.0,1/0/00,PERSONAL AUTO,SUV,1003.160633
NV55438,NEVADA,FEMALE,HIGH SCHOOL OR BELOW,528526.82,23422.0,72.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,518.4
RM10880,CALIFORNIA,FEMALE,COLLEGE,309651.12,21604.0,79.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,379.2
GL56175,ARIZONA,M,COLLEGE,358971.07,79298.0,90.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,244.362072
UK52289,ARIZONA,FEMALE,BACHELOR,258240.85,76731.0,64.0,1/0/00,SPECIAL AUTO,FOUR-DOOR CAR,201.455005
OT85112,WASHINGTON,M,COLLEGE,340391.94,38460.0,88.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,91.55098
BC62782,ARIZONA,F,COLLEGE,1357567.6,48534.0,115.0,1/1/00,PERSONAL AUTO,SUV,552.0
TI19722,WASHINGTON,M,DOCTOR,343613.43,30817.0,88.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,91.834668
JP30654,OREGON,F,COLLEGE,2868582.79,48412.0,104.0,1/0/00,PERSONAL AUTO,SUV,707.430832
UM45563,WASHINGTON,M,BACHELOR,450267.97,68798.0,114.0,1/0/00,PERSONAL AUTO,SUV,92.915251
EN60878,OREGON,M,BACHELOR,618311.15,23712.0,85.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,376.126419
JF36291,CALIFORNIA,M,COLLEGE,387364.7,28142.0,105.0,1/0/00,PERSONAL AUTO,SPORTS CAR,701.708239
BK59444,CALIFORNIA,F,MASTER,1892933.06,72196.0,68.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,152.184244
MK70700,CALIFORNIA,M,MASTER,555329.58,68197.0,69.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,176.819414
IW71076,CALIFORNIA,M,BACHELOR,501125.92,75248.0,63.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,104.454624
AP98768,CALIFORNIA,F,COLLEGE,1044244.63,0.0,98.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,941.718054
OM24164,NEVADA,M,BACHELOR,219961.78,0.0,65.0,1/1/00,PERSONAL AUTO,TWO-DOOR CAR,468.0
HR85211,WASHINGTON,FEMALE,MASTER,512317.09,89879.0,63.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,94.030308
VC87846,OREGON,M,HIGH SCHOOL OR BELOW,748431.05,46998.0,96.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,460.8
ZM92052,OREGON,M,BACHELOR,261302.31,57099.0,67.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,67.859881
ON73702,ARIZONA,F,BACHELOR,908063.97,33897.0,114.0,1/0/00,CORPORATE AUTO,SUV,539.843003
QQ90441,NEVADA,F,HIGH SCHOOL OR BELOW,1377097.62,59207.0,116.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,556.8
HU35721,OREGON,M,HIGH SCHOOL OR BELOW,287682.29,40171.0,73.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,350.4
YP47665,WASHINGTON,M,DOCTOR,540891.15,80192.0,67.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,95.193157
FU99476,WASHINGTON,M,HIGH SCHOOL OR BELOW,677030.68,74422.0,85.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,95.338505
AG85615,OREGON,M,COLLEGE,2414387.56,0.0,87.0,1/0/00,SPECIAL AUTO,FOUR-DOOR CAR,626.4
OY74069,ARIZONA,F,COLLEGE,353805.95,0.0,67.0,1/5/00,PERSONAL AUTO,FOUR-DOOR CAR,321.6
DJ91267,NEVADA,F,BACHELOR,2909123.94,34226.0,244.0,1/0/00,PERSONAL AUTO,LUXURY SUV,494.395024
KB72438,CALIFORNIA,F,HIGH SCHOOL OR BELOW,1983420.12,65989.0,123.0,1/1/00,PERSONAL AUTO,SUV,115.545086
TR67616,OREGON,M,HIGH SCHOOL OR BELOW,473136.7,30686.0,61.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,19.938981
GF65731,CALIFORNIA,F,MASTER,3553784.6,0.0,113.0,1/0/00,PERSONAL AUTO,SPORTS CAR,799.926741
HB67642,ARIZONA,F,HIGH SCHOOL OR BELOW,3461137.9,20090.0,109.0,1/0/00,PERSONAL AUTO,SPORTS CAR,523.2
DP84567,CALIFORNIA,M,HIGH SCHOOL OR BELOW,2021630.88,0.0,183.0,1/0/00,PERSONAL AUTO,LUXURY SUV,878.4
VV77534,OREGON,M,COLLEGE,1397651.93,77094.0,176.0,1/0/00,PERSONAL AUTO,SUV,444.470676
GL67540,CALIFORNIA,F,COLLEGE,590408.82,97413.0,73.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,268.819985
SV50502,OREGON,F,MASTER,559583.5,79189.0,69.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,331.2
UK59698,CALIFORNIA,F,HIGH SCHOOL OR BELOW,229430.36,0.0,62.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,297.6
OA57352,ARIZONA,F,COLLEGE,627391.19,18577.0,86.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,412.8
ZF84449,OREGON,F,COLLEGE,372672.8,0.0,112.0,1/1/00,SPECIAL AUTO,SPORTS CAR,806.4
AX86150,WASHINGTON,M,HIGH SCHOOL OR BELOW,265671.31,62777.0,67.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,101.288069
HG39060,OREGON,MALE,BACHELOR,511068.08,0.0,74.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,532.8
EM29359,NEVADA,MALE,COLLEGE,712659.65,17483.0,183.0,1/0/00,PERSONAL AUTO,LUXURY CAR,1317.6
SF57173,OREGON,MALE,MASTER,460163.41,84394.0,114.0,1/0/00,PERSONAL AUTO,SUV,691.412378
OT47603,OREGON,MALE,COLLEGE,915523.97,0.0,127.0,1/0/00,PERSONAL AUTO,SPORTS CAR,804.811859
SW31412,OREGON,F,COLLEGE,1480805.62,41440.0,62.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,297.6
JS36322,ARIZONA,MALE,HIGH SCHOOL OR BELOW,890167.84,0.0,136.0,1/1/00,PERSONAL AUTO,SPORTS CAR,1090.86434
RE81445,OREGON,F,COLLEGE,573459.82,98132.0,71.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,50.587035
RM24280,OREGON,F,HIGH SCHOOL OR BELOW,417769.7,0.0,112.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,537.6
LC25393,CALIFORNIA,MALE,BACHELOR,2777628.91,88220.0,230.0,1/0/00,PERSONAL AUTO,LUXURY CAR,151.528482
UX38930,ARIZONA,F,MASTER,1036434.75,58327.0,129.0,1/0/00,PERSONAL AUTO,SUV,347.075948
HD95496,OREGON,MALE,MASTER,785190.14,25950.0,66.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,271.697529
RX24650,OREGON,MALE,HIGH SCHOOL OR BELOW,477294.38,20993.0,133.0,1/0/00,CORPORATE AUTO,SUV,638.4
DW19309,OREGON,MALE,HIGH SCHOOL OR BELOW,1422650.49,65726.0,177.0,1/0/00,CORPORATE AUTO,SUV,849.6
MT41386,WASHINGTON,M,BACHELORS,287543.24,84768.0,72.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,110.484661
WZ40465,WASHINGTON,F,BACHELOR,504129.96,36234.0,63.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,113.534474
DB42794,CALIFORNIA,MALE,COLLEGE,436293.12,58842.0,110.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,528.0
JB50798,OREGON,F,MASTER,962452.44,25629.0,124.0,1/2/00,CORPORATE AUTO,SPORTS CAR,595.2
IP69763,WASHINGTON,F,COLLEGE,2191440.55,77311.0,181.0,1/0/00,PERSONAL AUTO,SUV,113.609508
TE35785,CALIFORNIA,MALE,DOCTOR,694842.22,0.0,196.0,1/2/00,PERSONAL AUTO,LUXURY SUV,1337.063487
HX74855,WASHINGTON,M,HIGH SCHOOL OR BELOW,247152.84,95697.0,61.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,114.273025
QN65180,OREGON,F,BACHELOR,2190391.36,22254.0,79.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,125.194389
GE47180,NEVADA,MALE,HIGH SCHOOL OR BELOW,902882.14,65974.0,113.0,1/0/00,PERSONAL AUTO,SPORTS CAR,235.220971
VQ38776,OREGON,F,COLLEGE,530375.95,0.0,76.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,395.34111
BH86846,WASHINGTON,M,HIGH SCHOOL OR BELOW,2070825.88,92079.0,65.0,1/1/00,CORPORATE AUTO,FOUR-DOOR CAR,114.798771
IN17648,NEVADA,MALE,HIGH SCHOOL OR BELOW,512376.81,0.0,74.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,772.798511
DF95759,OREGON,MALE,COLLEGE,949234.3,0.0,132.0,1/0/00,PERSONAL AUTO,SUV,633.6
QG45324,OREGON,F,HIGH SCHOOL OR BELOW,820486.32,0.0,73.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,350.4
MN61620,ARIZONA,F,COLLEGE,987729.57,67752.0,131.0,1/4/00,PERSONAL AUTO,SPORTS CAR,168.517149
YH86390,CALIFORNIA,F,BACHELOR,481500.97,25398.0,64.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,307.2
FY13480,CALIFORNIA,MALE,HIGH SCHOOL OR BELOW,627701.17,0.0,88.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,633.6
YH61661,CALIFORNIA,M,HIGH SCHOOL OR BELOW,826063.98,33321.0,105.0,1/0/00,SPECIAL AUTO,SUV,504.0
NL93182,NEVADA,M,BACHELOR,254945.0,0.0,78.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,845.654042
WE68644,OREGON,F,BACHELOR,380392.18,20325.0,100.0,1/0/00,PERSONAL AUTO,SPORTS CAR,668.29397
EZ30498,OREGON,M,BACHELOR,863540.35,13129.0,117.0,1/0/00,PERSONAL AUTO,SUV,700.901632
QY74517,OREGON,F,HIGH SCHOOL OR BELOW,551055.9,0.0,73.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,525.6
NM88660,NEVADA,M,MASTER,358588.41,49080.0,91.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,25.299
MZ82036,NEVADA,M,COLLEGE,488925.28,42536.0,63.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,375.330097
ID20929,OREGON,M,BACHELOR,275694.17,29926.0,74.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,418.233667
EY50028,NEVADA,M,DOCTOR,328954.74,0.0,86.0,1/0/00,CORPORATE AUTO,TWO-DOOR CAR,398.240791
TT82373,CALIFORNIA,F,BACHELOR,1093717.85,21450.0,138.0,1/0/00,PERSONAL AUTO,SPORTS CAR,938.513425
OH64088,CALIFORNIA,M,HIGH SCHOOL OR BELOW,737556.79,33345.0,65.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,338.619869
SK97780,CALIFORNIA,F,BACHELOR,1011077.82,15752.0,90.0,1/0/00,CORPORATE AUTO,TWO-DOOR CAR,339.344531
IO33050,OREGON,F,HIGH SCHOOL OR BELOW,511941.43,40169.0,65.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,302.818833
XA55917,CALIFORNIA,F,COLLEGE,853383.2,26049.0,113.0,1/1/00,PERSONAL AUTO,SUV,619.165344
JK32620,NEVADA,M,COLLEGE,222476.8,0.0,68.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,326.4
RQ19236,ARIZONA,M,DOCTOR,804280.38,55411.0,100.0,1/0/00,PERSONAL AUTO,SPORTS CAR,259.561195
QC47433,OREGON,M,COLLEGE,255443.71,12459.0,70.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,336.0
RA93608,OREGON,M,BACHELOR,1807394.0,64620.0,76.0,1/1/00,PERSONAL AUTO,TWO-DOOR CAR,364.8
XH97711,CALIFORNIA,M,BACHELOR,243050.66,83140.0,61.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,179.161843
AU96286,OREGON,F,BACHELOR,316765.84,0.0,92.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,662.4
KC17170,ARIZONA,F,BACHELOR,546560.4,54422.0,68.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,75.501852
ZN47335,CALIFORNIA,M,COLLEGE,1035751.42,68309.0,131.0,1/0/00,CORPORATE AUTO,SUV,306.983596
EI46264,CALIFORNIA,M,HIGH SCHOOL OR BELOW,253781.39,56621.0,65.0,1/2/00,PERSONAL AUTO,FOUR-DOOR CAR,84.026848
EK87864,ARIZONA,F,COLLEGE,282194.72,38977.0,70.0,1/0/00,SPECIAL AUTO,FOUR-DOOR CAR,139.489926
GV45403,AZ,M,BACHELOR,775712.81,0.0,111.0,1/0/00,CORPORATE AUTO,TWO-DOOR CAR,607.4459
QK31192,AZ,M,HIGH SCHOOL OR BELOW,407913.27,0.0,114.0,1/0/00,CORPORATE AUTO,TWO-DOOR CAR,631.124372
LU89008,AZ,F,COLLEGE,595554.46,0.0,83.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,628.023494
NS10490,OREGON,F,BACHELOR,1415861.36,83235.0,70.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,336.0
KL98495,NEVADA,M,COLLEGE,848723.8,0.0,74.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,426.655599
IU96845,AZ,M,COLLEGE,628547.69,32390.0,80.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,91.417923
QL93655,OREGON,F,HIGH SCHOOL OR BELOW,1147348.15,66538.0,95.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,317.844812
PF40592,WASHINGTON,F,COLLEGE,494263.06,23285.0,65.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,118.446235
LZ34046,OREGON,M,BACHELOR,2359468.02,76358.0,66.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,86.461582
JC80093,WASHINGTON,M,MASTER,257250.66,21104.0,66.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,118.454974
YE88490,AZ,F,COLLEGE,538089.86,55350.0,67.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,321.6
YC80498,CALIFORNIA,F,COLLEGE,477055.09,12964.0,65.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,362.774545
AI85843,AZ,F,MASTER,675665.14,33288.0,86.0,1/2/00,PERSONAL AUTO,FOUR-DOOR CAR,221.856184
XD66024,AZ,F,COLLEGE,593601.18,0.0,84.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,980.169081
FY51713,AZ,F,BACHELOR,357076.05,56168.0,88.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,614.675906
PH26378,CALIFORNIA,M,COLLEGE,601996.05,0.0,92.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,662.4
WQ18638,OREGON,M,HIGH SCHOOL OR BELOW,542686.4,23105.0,69.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,331.2
KY14688,OREGON,F,MASTER,273031.38,36218.0,68.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,145.252168
TC97762,CALIFORNIA,F,HIGH SCHOOL OR BELOW,498268.14,52275.0,62.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,374.240783
QC87108,OREGON,F,COLLEGE,876926.68,49665.0,74.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,355.2
CX12134,NEVADA,M,HIGH SCHOOL OR BELOW,422061.35,32471.0,110.0,1/0/00,PERSONAL AUTO,TWO-DOOR CAR,528.0
SM73248,AZ,M,HIGH SCHOOL OR BELOW,1153750.51,0.0,86.0,1/1/00,CORPORATE AUTO,TWO-DOOR CAR,619.2
CK19789,CALIFORNIA,F,MASTER,588718.2,62773.0,73.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,80.669257
UV12583,CALIFORNIA,F,COLLEGE,470058.38,76694.0,117.0,1/0/00,PERSONAL AUTO,SUV,561.6
JC11405,OREGON,M,HIGH SCHOOL OR BELOW,1096395.72,55687.0,276.0,1/0/00,PERSONAL AUTO,LUXURY SUV,1324.8
KA89683,AZ,F,HIGH SCHOOL OR BELOW,252317.12,0.0,70.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,504.0
BG85305,NEVADA,M,DOCTOR,375780.47,36633.0,96.0,1/1/00,PERSONAL AUTO,FOUR-DOOR CAR,460.8
UQ87917,OREGON,M,HIGH SCHOOL OR BELOW,1294173.35,77060.0,106.0,1/0/00,PERSONAL AUTO,SUV,468.566133
XN11823,NEVADA,F,BACHELOR,376446.51,92600.0,94.0,1/0/00,CORPORATE AUTO,TWO-DOOR CAR,842.43785
OS46571,CALIFORNIA,M,HIGH SCHOOL OR BELOW,688955.7,0.0,66.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,475.2
PX17116,NEVADA,M,COLLEGE,362345.42,0.0,111.0,1/2/00,CORPORATE AUTO,SUV,1171.93117
RP19541,AZ,M,COLLEGE,758211.38,64801.0,64.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,268.471802
ZR25747,OREGON,F,COLLEGE,827774.56,45257.0,103.0,1/0/00,CORPORATE AUTO,TWO-DOOR CAR,494.4
NQ86532,CALIFORNIA,M,HIGH SCHOOL OR BELOW,257645.56,26854.0,66.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,475.2
JY27336,OREGON,F,COLLEGE,820538.79,85840.0,102.0,1/2/00,CORPORATE AUTO,SUV,138.722385
PB54378,OREGON,F,DOCTOR,1958246.89,26463.0,72.0,1/0/00,CORPORATE AUTO,FOUR-DOOR CAR,345.6
SV38190,NEVADA,F,BACHELOR,648152.66,30689.0,81.0,1/0/00,PERSONAL AUTO,FOUR-DOOR CAR,467.24802
CV24005,OREGON,M,HIGH SCHOOL OR BELOW,259931.09,29590.0,66.0,1/0/00,CORPORATE AUTO,TWO-DOOR CAR,467.503236
EX28656,OREGON,F,COLLEGE,983033.76,25965.0,253.0,1/0/00,PERSONAL AUTO,LUXURY SUV,1214.4
CF57022,OREGON,M,BACHELOR,1044265.14,17269.0,139.0,1/0/00,PERSONAL AUTO,SUV,667.2
GM16780,OREGON,M,COLLEGE,3605753.7,90330.0,137.0,1/3/00,CORPORATE AUTO,SPORTS CAR,192.085299
